Van Datum,Van Tijdstip,Tot Datum,Tot Tijdstip,Meter,Metertype,Register,Volume,Eenheid,Validatiestatus,
07-07-2024,00:00:00,07-07-2024,00:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,38,kWh,Gevalideerd
07-07-2024,00:00:00,07-07-2024,00:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,00:15:00,07-07-2024,00:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,36,kWh,Gevalideerd
07-07-2024,00:15:00,07-07-2024,00:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,00:30:00,07-07-2024,00:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,35,kWh,Gevalideerd
07-07-2024,00:30:00,07-07-2024,00:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,00:45:00,07-07-2024,01:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,29,kWh,Gevalideerd
07-07-2024,00:45:00,07-07-2024,01:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,01:00:00,07-07-2024,01:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,33,kWh,Gevalideerd
07-07-2024,01:00:00,07-07-2024,01:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,01:15:00,07-07-2024,01:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,32,kWh,Gevalideerd
07-07-2024,01:15:00,07-07-2024,01:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,01:30:00,07-07-2024,01:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,32,kWh,Gevalideerd
07-07-2024,01:30:00,07-07-2024,01:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,01:45:00,07-07-2024,02:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,33,kWh,Gevalideerd
07-07-2024,01:45:00,07-07-2024,02:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,02:00:00,07-07-2024,02:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,42,kWh,Gevalideerd
07-07-2024,02:00:00,07-07-2024,02:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,02:15:00,07-07-2024,02:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,41,kWh,Gevalideerd
07-07-2024,02:15:00,07-07-2024,02:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,02:30:00,07-07-2024,02:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,41,kWh,Gevalideerd
07-07-2024,02:30:00,07-07-2024,02:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,02:45:00,07-07-2024,03:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,40,kWh,Gevalideerd
07-07-2024,02:45:00,07-07-2024,03:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,03:00:00,07-07-2024,03:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,40,kWh,Gevalideerd
07-07-2024,03:00:00,07-07-2024,03:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,03:15:00,07-07-2024,03:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,40,kWh,Gevalideerd
07-07-2024,03:15:00,07-07-2024,03:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,03:30:00,07-07-2024,03:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,40,kWh,Gevalideerd
07-07-2024,03:30:00,07-07-2024,03:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,03:45:00,07-07-2024,04:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,40,kWh,Gevalideerd
07-07-2024,03:45:00,07-07-2024,04:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,04:00:00,07-07-2024,04:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,40,kWh,Gevalideerd
07-07-2024,04:00:00,07-07-2024,04:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,04:15:00,07-07-2024,04:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,39,kWh,Gevalideerd
07-07-2024,04:15:00,07-07-2024,04:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,04:30:00,07-07-2024,04:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,33,kWh,Gevalideerd
07-07-2024,04:30:00,07-07-2024,04:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,04:45:00,07-07-2024,05:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,32,kWh,Gevalideerd
07-07-2024,04:45:00,07-07-2024,05:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,05:00:00,07-07-2024,05:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,31,kWh,Gevalideerd
07-07-2024,05:00:00,07-07-2024,05:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,05:15:00,07-07-2024,05:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,31,kWh,Gevalideerd
07-07-2024,05:15:00,07-07-2024,05:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,05:30:00,07-07-2024,05:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,32,kWh,Gevalideerd
07-07-2024,05:30:00,07-07-2024,05:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,05:45:00,07-07-2024,06:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,30,kWh,Gevalideerd
07-07-2024,05:45:00,07-07-2024,06:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,06:00:00,07-07-2024,06:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,34,kWh,Gevalideerd
07-07-2024,06:00:00,07-07-2024,06:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,06:15:00,07-07-2024,06:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,27,kWh,Gevalideerd
07-07-2024,06:15:00,07-07-2024,06:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,06:30:00,07-07-2024,06:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,15,kWh,Gevalideerd
07-07-2024,06:30:00,07-07-2024,06:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,06:45:00,07-07-2024,07:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,9,kWh,Gevalideerd
07-07-2024,06:45:00,07-07-2024,07:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,07:00:00,07-07-2024,07:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,15,kWh,Gevalideerd
07-07-2024,07:00:00,07-07-2024,07:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,07:15:00,07-07-2024,07:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,1,kWh,Gevalideerd
07-07-2024,07:15:00,07-07-2024,07:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,8,kWh,Gevalideerd
07-07-2024,07:30:00,07-07-2024,07:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,07:30:00,07-07-2024,07:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,10,kWh,Gevalideerd
07-07-2024,07:45:00,07-07-2024,08:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,2,kWh,Gevalideerd
07-07-2024,07:45:00,07-07-2024,08:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,50,kWh,Gevalideerd
07-07-2024,08:00:00,07-07-2024,08:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,08:00:00,07-07-2024,08:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,69,kWh,Gevalideerd
07-07-2024,08:15:00,07-07-2024,08:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,08:15:00,07-07-2024,08:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,141,kWh,Gevalideerd
07-07-2024,08:30:00,07-07-2024,08:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,08:30:00,07-07-2024,08:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,157,kWh,Gevalideerd
07-07-2024,08:45:00,07-07-2024,09:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,08:45:00,07-07-2024,09:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,260,kWh,Gevalideerd
07-07-2024,09:00:00,07-07-2024,09:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,09:00:00,07-07-2024,09:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,264,kWh,Gevalideerd
07-07-2024,09:15:00,07-07-2024,09:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,09:15:00,07-07-2024,09:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,235,kWh,Gevalideerd
07-07-2024,09:30:00,07-07-2024,09:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,09:30:00,07-07-2024,09:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,193,kWh,Gevalideerd
07-07-2024,09:45:00,07-07-2024,10:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,09:45:00,07-07-2024,10:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,176,kWh,Gevalideerd
07-07-2024,10:00:00,07-07-2024,10:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,10:00:00,07-07-2024,10:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,145,kWh,Gevalideerd
07-07-2024,10:15:00,07-07-2024,10:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,3,kWh,Gevalideerd
07-07-2024,10:15:00,07-07-2024,10:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,61,kWh,Gevalideerd
07-07-2024,10:30:00,07-07-2024,10:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,20,kWh,Gevalideerd
07-07-2024,10:30:00,07-07-2024,10:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,31,kWh,Gevalideerd
07-07-2024,10:45:00,07-07-2024,11:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,12,kWh,Gevalideerd
07-07-2024,10:45:00,07-07-2024,11:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,75,kWh,Gevalideerd
07-07-2024,11:00:00,07-07-2024,11:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,351,kWh,Gevalideerd
07-07-2024,11:00:00,07-07-2024,11:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,11:15:00,07-07-2024,11:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,260,kWh,Gevalideerd
07-07-2024,11:15:00,07-07-2024,11:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,11:30:00,07-07-2024,11:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,367,kWh,Gevalideerd
07-07-2024,11:30:00,07-07-2024,11:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,11:45:00,07-07-2024,12:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,224,kWh,Gevalideerd
07-07-2024,11:45:00,07-07-2024,12:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,12:00:00,07-07-2024,12:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,44,kWh,Gevalideerd
07-07-2024,12:00:00,07-07-2024,12:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,200,kWh,Gevalideerd
07-07-2024,12:15:00,07-07-2024,12:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,12:15:00,07-07-2024,12:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,302,kWh,Gevalideerd
07-07-2024,12:30:00,07-07-2024,12:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,12:30:00,07-07-2024,12:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,259,kWh,Gevalideerd
07-07-2024,12:45:00,07-07-2024,13:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,207,kWh,Gevalideerd
07-07-2024,12:45:00,07-07-2024,13:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,52,kWh,Gevalideerd
07-07-2024,13:00:00,07-07-2024,13:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,74,kWh,Gevalideerd
07-07-2024,13:00:00,07-07-2024,13:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,26,kWh,Gevalideerd
07-07-2024,13:15:00,07-07-2024,13:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,5,kWh,Gevalideerd
07-07-2024,13:15:00,07-07-2024,13:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,60,kWh,Gevalideerd
07-07-2024,13:30:00,07-07-2024,13:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,13:30:00,07-07-2024,13:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,170,kWh,Gevalideerd
07-07-2024,13:45:00,07-07-2024,14:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,13:45:00,07-07-2024,14:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,381,kWh,Gevalideerd
07-07-2024,14:00:00,07-07-2024,14:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,5,kWh,Gevalideerd
07-07-2024,14:00:00,07-07-2024,14:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,333,kWh,Gevalideerd
07-07-2024,14:15:00,07-07-2024,14:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,14:15:00,07-07-2024,14:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,162,kWh,Gevalideerd
07-07-2024,14:30:00,07-07-2024,14:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,14:30:00,07-07-2024,14:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,141,kWh,Gevalideerd
07-07-2024,14:45:00,07-07-2024,15:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,2,kWh,Gevalideerd
07-07-2024,14:45:00,07-07-2024,15:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,19,kWh,Gevalideerd
07-07-2024,15:00:00,07-07-2024,15:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,70,kWh,Gevalideerd
07-07-2024,15:00:00,07-07-2024,15:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,1,kWh,Gevalideerd
07-07-2024,15:15:00,07-07-2024,15:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,73,kWh,Gevalideerd
07-07-2024,15:15:00,07-07-2024,15:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,12,kWh,Gevalideerd
07-07-2024,15:30:00,07-07-2024,15:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,15:30:00,07-07-2024,15:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,98,kWh,Gevalideerd
07-07-2024,15:45:00,07-07-2024,16:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,15:45:00,07-07-2024,16:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,115,kWh,Gevalideerd
07-07-2024,16:00:00,07-07-2024,16:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,16:00:00,07-07-2024,16:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,134,kWh,Gevalideerd
07-07-2024,16:15:00,07-07-2024,16:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,16:15:00,07-07-2024,16:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,127,kWh,Gevalideerd
07-07-2024,16:30:00,07-07-2024,16:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,16:30:00,07-07-2024,16:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,148,kWh,Gevalideerd
07-07-2024,16:45:00,07-07-2024,17:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,16:45:00,07-07-2024,17:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,145,kWh,Gevalideerd
07-07-2024,17:00:00,07-07-2024,17:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,17:00:00,07-07-2024,17:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,238,kWh,Gevalideerd
07-07-2024,17:15:00,07-07-2024,17:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,418,kWh,Gevalideerd
07-07-2024,17:15:00,07-07-2024,17:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,51,kWh,Gevalideerd
07-07-2024,17:30:00,07-07-2024,17:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,716,kWh,Gevalideerd
07-07-2024,17:30:00,07-07-2024,17:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,17:45:00,07-07-2024,18:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,920,kWh,Gevalideerd
07-07-2024,17:45:00,07-07-2024,18:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,18:00:00,07-07-2024,18:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,587,kWh,Gevalideerd
07-07-2024,18:00:00,07-07-2024,18:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,18:15:00,07-07-2024,18:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,181,kWh,Gevalideerd
07-07-2024,18:15:00,07-07-2024,18:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,29,kWh,Gevalideerd
07-07-2024,18:30:00,07-07-2024,18:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,10,kWh,Gevalideerd
07-07-2024,18:30:00,07-07-2024,18:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,79,kWh,Gevalideerd
07-07-2024,18:45:00,07-07-2024,19:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,0,kWh,Gevalideerd
07-07-2024,18:45:00,07-07-2024,19:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,115,kWh,Gevalideerd
07-07-2024,19:00:00,07-07-2024,19:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,9,kWh,Gevalideerd
07-07-2024,19:00:00,07-07-2024,19:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,81,kWh,Gevalideerd
07-07-2024,19:15:00,07-07-2024,19:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,368,kWh,Gevalideerd
07-07-2024,19:15:00,07-07-2024,19:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,9,kWh,Gevalideerd
07-07-2024,19:30:00,07-07-2024,19:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,828,kWh,Gevalideerd
07-07-2024,19:30:00,07-07-2024,19:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,19:45:00,07-07-2024,20:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,623,kWh,Gevalideerd
07-07-2024,19:45:00,07-07-2024,20:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,20:00:00,07-07-2024,20:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,548,kWh,Gevalideerd
07-07-2024,20:00:00,07-07-2024,20:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,20:15:00,07-07-2024,20:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,211,kWh,Gevalideerd
07-07-2024,20:15:00,07-07-2024,20:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,20:30:00,07-07-2024,20:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,44,kWh,Gevalideerd
07-07-2024,20:30:00,07-07-2024,20:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,20:45:00,07-07-2024,21:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,58,kWh,Gevalideerd
07-07-2024,20:45:00,07-07-2024,21:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,21:00:00,07-07-2024,21:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,52,kWh,Gevalideerd
07-07-2024,21:00:00,07-07-2024,21:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,21:15:00,07-07-2024,21:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,52,kWh,Gevalideerd
07-07-2024,21:15:00,07-07-2024,21:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,21:30:00,07-07-2024,21:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,57,kWh,Gevalideerd
07-07-2024,21:30:00,07-07-2024,21:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,21:45:00,07-07-2024,22:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,62,kWh,Gevalideerd
07-07-2024,21:45:00,07-07-2024,22:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,22:00:00,07-07-2024,22:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,61,kWh,Gevalideerd
07-07-2024,22:00:00,07-07-2024,22:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,22:15:00,07-07-2024,22:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,75,kWh,Gevalideerd
07-07-2024,22:15:00,07-07-2024,22:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,22:30:00,07-07-2024,22:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,71,kWh,Gevalideerd
07-07-2024,22:30:00,07-07-2024,22:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,22:45:00,07-07-2024,23:00:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,69,kWh,Gevalideerd
07-07-2024,22:45:00,07-07-2024,23:00:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,23:00:00,07-07-2024,23:15:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,43,kWh,Gevalideerd
07-07-2024,23:00:00,07-07-2024,23:15:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,23:15:00,07-07-2024,23:30:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,48,kWh,Gevalideerd
07-07-2024,23:15:00,07-07-2024,23:30:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
07-07-2024,23:30:00,07-07-2024,23:45:00,1SAG1105054868,Digitale Meter,Afname Nacht,0,49,kWh,Gevalideerd
07-07-2024,23:30:00,07-07-2024,23:45:00,1SAG1105054868,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
