Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
04-07-2022;00:00:00;05-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;4,103;kWh;Gevalideerd
04-07-2022;00:00:00;05-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,807;kWh;Gevalideerd
04-07-2022;00:00:00;05-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
04-07-2022;00:00:00;05-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
05-07-2022;00:00:00;06-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;3,673;kWh;Gevalideerd
05-07-2022;00:00:00;06-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,643;kWh;Gevalideerd
05-07-2022;00:00:00;06-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
05-07-2022;00:00:00;06-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
06-07-2022;00:00:00;07-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,120;kWh;Gevalideerd
06-07-2022;00:00:00;07-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,787;kWh;Gevalideerd
06-07-2022;00:00:00;07-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
06-07-2022;00:00:00;07-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2022;00:00:00;08-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;1,957;kWh;Gevalideerd
07-07-2022;00:00:00;08-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;1,003;kWh;Gevalideerd
07-07-2022;00:00:00;08-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
07-07-2022;00:00:00;08-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2022;00:00:00;09-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;4,219;kWh;Gevalideerd
08-07-2022;00:00:00;09-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,826;kWh;Gevalideerd
08-07-2022;00:00:00;09-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
08-07-2022;00:00:00;09-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2022;00:00:00;10-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
09-07-2022;00:00:00;10-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;3,206;kWh;Gevalideerd
09-07-2022;00:00:00;10-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2022;00:00:00;10-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
10-07-2022;00:00:00;11-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
